idsbr,Query,Actual Place Name,Category,Rating,Address,Phone Number,Website,Latitude,Longitude,Status,Open Status,Operation Hours,Place,Validasi
16758772,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Sentral Baja Indonesia,Steel construction company,"4,9"," Ruko Plaza Segi 8, Jl. Raya Darmo Permai III No.862 Blok C, Sonokwijenan, Sukomanunggal, Surabaya, East Java 60226",Gagal,Gagal,-7.2758043,112.6949126,Aktif,· Buka pukul 08.00,Gagal,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Ditemukan
16758773,"Somawi Surya Semesta, JL SOPONYONO PRAPEN MASJID",DISTRIBUTOR APAR SNI SERVVO - SURABAYA,Pemasok Sistem Perlindungan Kebakaran,"5,0",· Taman Jemursari Selatan I No.6A,0822-3337-6852,Gagal,-7.3270394,112.7381974,Tutup,· Tutup pukul 18.00,· Taman Jemursari Selatan I No.6A · Taman Jemursari Selatan I No.6A,"Somawi Surya Semesta, JL SOPONYONO PRAPEN MASJID",Ditemukan
16758773,"Somawi Surya Semesta, JL SOPONYONO PRAPEN MASJID",Servvo Surabaya,Pemasok peralatan keselamatan,"5,0","· Rukan Rungkut Megah Raya Q8, Jl. Raya Kedung Baruk Q No.8",0813-3501-0901,Gagal,-7.3094417,112.7718609,Aktif,Segera buka · 08.00,Segera buka · 08.00 · Segera buka · 08.00,"Somawi Surya Semesta, JL SOPONYONO PRAPEN MASJID",Tidak Ditemukan
16808041,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",PT Jaya Mas Mandiri Plus,Kantor Perusahaan,"4,4"," Jl. Pakal No.124, Pakal, Kec. Pakal, Surabaya, Jawa Timur 60196",Gagal,http://www.jplus.co.id/,-7.236064,112.6143801,Aktif,Gagal,Gagal,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",Ditemukan
2747069,"JAYA PUTRA MULTIGUNA, Komplek Pertokoan Mangga Dua Blok B-8 No. 3 Jl. Jagir Wonokromo No. 100",PT. Jaya Putra Multiguna,Kontraktor Umum,"5,0"," Ruko Mangga Dua, Jl. Jagir Wonokromo No.3 Blok B8, Jagir, Kec. Wonokromo, Surabaya, Jawa Timur 60244",Gagal,https://www.jayaputramultiguna.id/,-7.3038573,112.7414082,Aktif,· 08.00,Gagal,"JAYA PUTRA MULTIGUNA, Komplek Pertokoan Mangga Dua Blok B-8 No. 3 Jl. Jagir Wonokromo No. 100",Ditemukan
2896446,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tunjungan Plaza 6,Pusat Perbelanjaan,"4,8",· Jl. Embong Malang No.32-36,(031) 5311088,Gagal,-7.2623705,112.7384407,Aktif,Tutup,Tutup · Buka pukul 10.00 · Tutup · Buka pukul 10.00,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Ditemukan
2896446,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Chandra Indo Garmen PT,Pedagang tekstil,"3,8","· Jl. Kenjeran No.134, RW.06",(031) 3736255,Gagal,-7.243701,112.76202,Aktif,Tutup,Tutup · Buka pukul 09.00 · Tutup · Buka pukul 09.00,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tidak Ditemukan
2896446,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tunjungan Plaza 4,Pusat Perbelanjaan,"4,8",· Jl. Basuki Rahmat No.8012,Gagal,Gagal,-7.2617114,112.7391075,Aktif,Tutup,Tutup · Buka pukul 10.00 · Tutup · Buka pukul 10.00,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tidak Ditemukan
2896446,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tunjungan Plaza,Pusat Perbelanjaan,"4,7","· Tunjungan plaza, Jl. Jenderal Basuki Rachmat No.8-12 lantai 5",(031) 5311088,Gagal,-7.2631711,112.7400711,Aktif,Tutup,Tutup · Buka pukul 10.00 · Tutup · Buka pukul 10.00,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tidak Ditemukan
2896446,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",PT Kosmetika Global Indonesia (PT KOSME),Produsen produk kosmetik,"4,6",· Jl. Rungkut Industri III No.9,(031) 99860099,Gagal,-7.3349842,112.7517284,Aktif,Segera buka · 08.00,Segera buka · 08.00 · Segera buka · 08.00,"CHANDRA INDO GARMEN, TUNJUNGAN PLAZA IV RUANG UNIT 2.16-2.17 JL EMBONG MALANG",Tidak Ditemukan
2915160,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Everllence Indonesia (Formerly MAN ES Indonesia),Kantor Perusahaan,"4,4"," Jl. Pergudangan Suri Mulia No.44 Kav. E-15, Greges, Asem Rowo, Surabaya, East Java 60182",Gagal,https://www.everllence.com/,-7.2366995,112.6849024,Aktif,· Buka pukul 08.30,Gagal,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Ditemukan
4385768,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Nifang Elektrik (Cable Tray/Cable Ladder),Toko Alat Listrik,"4,2"," Jl. Pergudangan Margomulyo Permai No.M1-2, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,https://nifangelektrik.wordpress.com/,-7.2479096,112.6869193,Aktif,· Buka pukul 08.00,Gagal,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Ditemukan
4390881,"TUJU KUDA HITAM SAKTI, JL MULYOREJO",PT. Tujuh kuda hitam sakti,Tidak ada ulasan,Gagal,· Jl. Mulyorejo No.146,(031) 5950847,Gagal,-7.2635899,112.7834354,Aktif,Segera buka · 08.00,Segera buka · 08.00 · Segera buka · 08.00,"TUJU KUDA HITAM SAKTI, JL MULYOREJO",Ditemukan
4390881,"TUJU KUDA HITAM SAKTI, JL MULYOREJO",PT. Tuju Kuda Hitam Sakti,Perancang Acara,"4,1",· Jl. Raya Mojotengah No.Km 2,(031) 7915173,Gagal,-7.3057663,112.5647507,Aktif,Segera buka · 08.00,Segera buka · 08.00 · Segera buka · 08.00,"TUJU KUDA HITAM SAKTI, JL MULYOREJO",Tidak Ditemukan
