idsbr,Query,Actual Place Name,Category,Rating,Address,Phone Number,Website,Latitude,Longitude,Status,Open Status,Operation Hours,Place,Validasi
16758772,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Sentral Baja Indonesia,Steel construction company,"4,9"," Ruko Plaza Segi 8, Jl. Raya Darmo Permai III No.862 Blok C, Sonokwijenan, Sukomanunggal, Surabaya, East Java 60226",Gagal,Gagal,-7.2758096,112.6949126,Aktif,· Tutup pukul 17.00,Gagal,"Sentral Baja Indonesia, JL. Greges Jaya II No. 8 Blok C-9, Kota Surabaya, Provinsi Jawa Timur",Ditemukan
16808041,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",PT Jaya Mas Mandiri Plus,Kantor Perusahaan,"4,4"," Jl. Pakal No.124, Pakal, Kec. Pakal, Surabaya, Jawa Timur 60196",Gagal,http://www.jplus.co.id/,-7.2360693,112.6143801,Aktif,Gagal,Gagal,"JAYA MAS MANDIRI PLUS, PT, Jl. Margomulyo Industri 44 Hh 19 ,",Ditemukan
2915160,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Everllence Indonesia (Formerly MAN ES Indonesia),Kantor Perusahaan,"4,4"," Jl. Pergudangan Suri Mulia No.44 Kav. E-15, Greges, Asem Rowo, Surabaya, East Java 60182",Gagal,https://www.everllence.com/,-7.2367048,112.6849024,Aktif,· Tutup pukul 17.30,Gagal,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Ditemukan
2915160,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Everllence Indonesia (Formerly MAN ES Indonesia),Kantor Perusahaan,"4,4"," Jl. Pergudangan Suri Mulia No.44 Kav. E-15, Greges, Asem Rowo, Surabaya, East Java 60182",Gagal,https://www.everllence.com/,-7.2367048,112.6849024,Aktif,· Tutup pukul 17.30,Gagal,"MAN ENERGY SOLUTIONS INDONESIA, JL MARGOMULYO 44",Tidak Ditemukan
4385768,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Nifang Elektrik (Cable Tray/Cable Ladder),Toko Alat Listrik,"4,2"," Jl. Pergudangan Margomulyo Permai No.M1-2, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,https://nifangelektrik.wordpress.com/,-7.2479149,112.6869193,Aktif,· 16.00 · Buka Kam pukul 08.00,Gagal,"NIFANG ELEKTRIK, JL. MARGOMULYO PERMAI",Ditemukan
6197733,"MULTI REKAT, Jl. Margomulyo 51A Kav. 15",CV Multi Rekat,Grosir bahan kimia,Gagal," Jl. Pergudangan Margomulyo Permai AD17, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,https://www.multirekat.com/,-7.2436026,112.6865588,Aktif,· 16.00 · Buka Kam pukul 07.00,Gagal,"MULTI REKAT, Jl. Margomulyo 51A Kav. 15",Ditemukan
6197832,"HARMONI CAHAYA ELEKTRIK, Jl. Dumar Industri Blok A No 3",Harmoni Cahaya Elektrik,Toko Alat Listrik,"5,0"," Jl. Dumar Industri No.44, Greges, Kec. Asem Rowo, Surabaya, Jawa Timur 60183",Gagal,Gagal,-7.2436278,112.6910313,Aktif,Gagal,Gagal,"HARMONI CAHAYA ELEKTRIK, Jl. Dumar Industri Blok A No 3",Ditemukan
6198051,"BABA PRIMA MANUFACTURING, PT, Jl. Kenjeran No.411",Baba Prima Manufacturing. PT,Produsen,"4,4"," Jl. Kenjeran No.411, Gading, Kec. Tambaksari, Surabaya, Jawa Timur 60134",Gagal,Gagal,-7.2476061,112.774893,Aktif,Gagal,Gagal,"BABA PRIMA MANUFACTURING, PT, Jl. Kenjeran No.411",Ditemukan
6198311,"JAYA METAL SURABAYA, Jl. Margomulyo 66-F No. Kav 2",PT. Jaya Metal Surabaya,Pabrik Logam,"4,8"," Jl. Margomulyo.66F Kav.2, RT.001, RT.001/RW.01, Greges, Asem Rowo, Surabaya, East Java 60183",Gagal,http://www.ptjayametal.com/,-7.2336406,112.682064,Aktif,· Tutup pukul 17.00,Gagal,"JAYA METAL SURABAYA, Jl. Margomulyo 66-F No. Kav 2",Ditemukan
6198369,"DYNASTY MAS PRIMA, Jl. Kenjeran No. 627",PT. Dynasty Mas Prima,Ahli Perhiasan,"3,7"," Jl. Kenjeran No.627, Kalijudan, Kec. Mulyorejo, Surabaya, Jawa Timur 60114",Gagal,http://www.dynastymasprima.com/,-7.2506173,112.7869688,Aktif,· 16.00 · Buka Kam pukul 09.00,Gagal,"DYNASTY MAS PRIMA, Jl. Kenjeran No. 627",Ditemukan
